algorithm,security_bits,key_param,hash,avg_time_ms
RSA,80,1024,SHA256,0.08481111662048432
RSA,112,2048,SHA256,0.46095556010388666
RSA,128,3072,SHA256,1.3475111207096941
RSA,192,7680,SHA256,27.062399998410708
RSA,256,15360,SHA256,143.7895222204841
DSA,80,1024,SHA256,0.08585555608280832
DSA,112,2048,SHA256,0.3359888990720113
DSA,128,3072,SHA256,0.6066777730464108
ECC,80,secp192r1,SHA256,0.22678888894410598
ECC,112,secp224r1,SHA256,0.30225556110963225
ECC,128,secp256r1,SHA256,0.027455570590164926
ECC,192,secp384r1,SHA256,0.7114000036381185
ECC,256,secp521r1,SHA256,1.59996665833104
