algorithm,security_bits,key_param,hash,avg_time_ms
RSA,80,1024,SHA256,0.020544445659551356
RSA,112,2048,SHA256,0.028188883637388546
RSA,128,3072,SHA256,0.048622217339773975
RSA,192,7680,SHA256,0.1870777858938608
RSA,256,15360,SHA256,0.7223666697326634
DSA,80,1024,SHA256,0.06358888802222079
DSA,112,2048,SHA256,0.257400000312676
DSA,128,3072,SHA256,0.5273000052612689
ECC,80,secp192r1,SHA256,0.20921110667081344
ECC,112,secp224r1,SHA256,0.46826666221022606
ECC,128,secp256r1,SHA256,0.05724444054067135
ECC,192,secp384r1,SHA256,0.6170999970183604
ECC,256,secp521r1,SHA256,1.3446777658019629
